Category,Sub Category,Product Name,Sale Price,Original Price,Available Sizes,Product URL,Image URL,Product Details JSON,Product Name Masri,Sale Price Float,Original Price Float,Currency
كوليكشن العروض,اسعار تبدأ من 199ج,Hidden Socks SOL,LE51.75,LE69.00,,https://sutrastores.com/products/hidden-socks-sol-june-2024,https://sutrastores.com/cdn/shop/files/315A8910.webp?v=1757257133&width=1100,"{""colors"": [], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: All fits</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 45265017995500, ""title"": ""Dark Blue"", ""option1"": ""Dark Blue"", ""option2"": null, ""option3"": null, ""sku"": ""Hidden Socks SOL-Dark Blue"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 40822388883692, ""product_id"": 8507187265772, ""position"": 3, ""created_at"": ""2024-06-04T17:41:37+03:00"", ""updated_at"": ""2025-09-07T17:58:53+03:00"", ""alt"": null, ""width"": 1500, ""height"": 1500, ""src"": ""//sutrastores.com/cdn/shop/files/315A8907_b08c6c18-72f7-4aa7-9f3b-264b14c11576.jpg?v=1757257133"", ""variant_ids"": [45265017995500]}, ""available"": true, ""name"": ""Hidden Socks SOL - Dark Blue"", ""public_title"": ""Dark Blue"", ""options"": [""Dark Blue""], ""price"": 5175, ""weight"": 0, ""compare_at_price"": 6900, ""inventory_management"": ""shopify"", ""barcode"": ""1513864800010"", ""featured_media"": {""alt"": null, ""id"": 33581012582636, ""position"": 3, ""preview_image"": {""aspect_ratio"": 1.0, ""height"": 1500, ""width"": 1500, ""src"": ""//sutrastores.com/cdn/shop/files/315A8907_b08c6c18-72f7-4aa7-9f3b-264b14c11576.jpg?v=1757257133""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",شرابات مخفية SOL,51.75,69.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Ankle Sock,LE74.25,LE99.00,,https://sutrastores.com/products/ankle-sock,https://sutrastores.com/cdn/shop/files/315A0852.jpg?v=1757257068&width=1100,"{""colors"": [], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: All fits</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 46059543625964, ""title"": ""Gray"", ""option1"": ""Gray"", ""option2"": null, ""option3"": null, ""sku"": ""Ankle Sock-Gray"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": null, ""available"": true, ""name"": ""Ankle Sock - Gray"", ""public_title"": ""Gray"", ""options"": [""Gray""], ""price"": 7425, ""weight"": 0, ""compare_at_price"": 9900, ""inventory_management"": ""shopify"", ""barcode"": ""1530973431010"", ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",شراب كاحل,74.25,99.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Wudu Sock,LE89.25,LE119.00,,https://sutrastores.com/products/wudu-sock,https://sutrastores.com/cdn/shop/files/315A0876.jpg?v=1757257069&width=1100,"{""colors"": [], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Over size</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 46059519443180, ""title"": ""Black"", ""option1"": ""Black"", ""option2"": null, ""option3"": null, ""sku"": ""Ablution Sock-Black"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": null, ""available"": true, ""name"": ""Wudu Sock - Black"", ""public_title"": ""Black"", ""options"": [""Black""], ""price"": 8925, ""weight"": 0, ""compare_at_price"": 11900, ""inventory_management"": ""shopify"", ""barcode"": ""1530873429010"", ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",شراب وضو,89.25,119.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Basic Boxer,LE126.75,LE169.00,M,https://sutrastores.com/products/basic-boxer-june-2024,https://sutrastores.com/cdn/shop/files/Smart_Boxer_0799f7a6-ae2e-49f7-84db-1008dc5ded45.jpg?v=1757257137&width=1100,"{""colors"": [{""name"": ""White"", ""available"": false, ""option_value_id"": ""2291040321772"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Smart_Boxer_0799f7a6-ae2e-49f7-84db-1008dc5ded45.jpg?v=1757257137&width=50""}, {""name"": ""Black"", ""available"": true, ""option_value_id"": ""2291040354540"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Smart_Boxer_2_1e790274-02bd-44b5-bb67-5713ea01c07d.jpg?v=1757257137&width=50""}, {""name"": ""Dark Blue"", ""available"": false, ""option_value_id"": ""2291040387308"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Smart_Boxer_1_6c2919c7-3262-42e1-8496-3c9b4ad3a12c.jpg?v=1757257137&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Slim</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 45259646664940, ""title"": ""Black / M"", ""option1"": ""Black"", ""option2"": ""M"", ""option3"": null, ""sku"": ""Basic Boxer-Black-M"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 40836982833388, ""product_id"": 8507186282732, ""position"": 2, ""created_at"": ""2024-06-06T16:56:38+03:00"", ""updated_at"": ""2025-09-07T17:58:57+03:00"", ""alt"": null, ""width"": 2764, ""height"": 2764, ""src"": ""//sutrastores.com/cdn/shop/files/Smart_Boxer_2_1e790274-02bd-44b5-bb67-5713ea01c07d.jpg?v=1757257137"", ""variant_ids"": [45259646664940, 45259646697708, 45259646730476, 45259646763244, 45259646796012]}, ""available"": true, ""name"": ""Basic Boxer - Black / M"", ""public_title"": ""Black / M"", ""options"": [""Black"", ""M""], ""price"": 12675, ""weight"": 0, ""compare_at_price"": 16900, ""inventory_management"": ""shopify"", ""barcode"": ""1514764827010"", ""featured_media"": {""alt"": null, ""id"": 33595830010092, ""position"": 2, ""preview_image"": {""aspect_ratio"": 1.0, ""height"": 2764, ""width"": 2764, ""src"": ""//sutrastores.com/cdn/shop/files/Smart_Boxer_2_1e790274-02bd-44b5-bb67-5713ea01c07d.jpg?v=1757257137""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",بوكسر أساسي,126.75,169.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Cookies Slides Basic T_Shirt,LE149.00,LE399.00,M,https://sutrastores.com/products/cookies-slides-basic-june-2024,https://sutrastores.com/cdn/shop/files/4T3A0517.jpg?v=1757257312&width=1100,"{""colors"": [{""name"": ""Black"", ""available"": false, ""option_value_id"": ""2290963185900"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/unnamed_6_800a0189-e597-4386-9f6e-e30741145267.jpg?v=1757257312&width=50""}, {""name"": ""Dark Blue"", ""available"": false, ""option_value_id"": ""2290963218668"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/4T3A0533.jpg?v=1757257312&width=50""}, {""name"": ""Red"", ""available"": true, ""option_value_id"": ""2290963251436"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/4T3A0517.jpg?v=1757257312&width=50""}, {""name"": ""orange"", ""available"": true, ""option_value_id"": ""2290963284204"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/4T3A0493.jpg?v=1757257312&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Slim</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 45259495309548, ""title"": ""Red / M"", ""option1"": ""Red"", ""option2"": ""M"", ""option3"": null, ""sku"": ""Cookies Slides Basic T_Shirt-Red-M"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 44527392456940, ""product_id"": 8507165016300, ""position"": 1, ""created_at"": ""2025-08-21T15:11:50+03:00"", ""updated_at"": ""2025-09-07T18:01:52+03:00"", ""alt"": null, ""width"": 1800, ""height"": 2700, ""src"": ""//sutrastores.com/cdn/shop/files/4T3A0517.jpg?v=1757257312"", ""variant_ids"": [45259495309548, 45259495342316, 45259495375084, 45259495407852, 45259495440620]}, ""available"": true, ""name"": ""Cookies Slides Basic T_Shirt - Red / M"", ""public_title"": ""Red / M"", ""options"": [""Red"", ""M""], ""price"": 14900, ""weight"": 0, ""compare_at_price"": 39900, ""inventory_management"": ""shopify"", ""barcode"": ""1495760571010"", ""featured_media"": {""alt"": null, ""id"": 35811774497004, ""position"": 1, ""preview_image"": {""aspect_ratio"": 0.667, ""height"": 2700, ""width"": 1800, ""src"": ""//sutrastores.com/cdn/shop/files/4T3A0517.jpg?v=1757257312""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",تيشيرت كوكيز سلايدز,149.0,399.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Leather Belt V2,LE199.00,LE399.00,one size,https://sutrastores.com/products/leather-belt-v2-june-2024,https://sutrastores.com/cdn/shop/files/315A7308_161939c3-4b7c-4072-bc57-dbcbbfe0f1ee.jpg?v=1757257134&width=1100,"{""colors"": [{""name"": ""Black"", ""available"": true, ""option_value_id"": ""2291042091244"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A7308_161939c3-4b7c-4072-bc57-dbcbbfe0f1ee.jpg?v=1757257134&width=50""}, {""name"": ""Brown"", ""available"": true, ""option_value_id"": ""2291042124012"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A7306_266c85cd-99f5-4cb9-a75d-cf79ec938711.jpg?v=1757257134&width=50""}, {""name"": ""Matt Brown"", ""available"": false, ""option_value_id"": ""2291042156780"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A7306_266c85cd-99f5-4cb9-a75d-cf79ec938711.jpg?v=1757257134&width=50""}, {""name"": ""Havan"", ""available"": true, ""option_value_id"": ""2291042189548"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A7304_7f63518a-7d42-49fa-93b4-9e83199181b3.jpg?v=1757257134&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Leather</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: All fits</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 45259649122540, ""title"": ""Black / one size"", ""option1"": ""Black"", ""option2"": ""one size"", ""option3"": null, ""sku"": ""Leather Belt V2-Black"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 40822526935276, ""product_id"": 8507186905324, ""position"": 1, ""created_at"": ""2024-06-04T18:05:49+03:00"", ""updated_at"": ""2025-09-07T17:58:54+03:00"", ""alt"": null, ""width"": 3417, ""height"": 3417, ""src"": ""//sutrastores.com/cdn/shop/files/315A7308_161939c3-4b7c-4072-bc57-dbcbbfe0f1ee.jpg?v=1757257134"", ""variant_ids"": [45259649122540]}, ""available"": true, ""name"": ""Leather Belt V2 - Black / one size"", ""public_title"": ""Black / one size"", ""options"": [""Black"", ""one size""], ""price"": 19900, ""weight"": 0, ""compare_at_price"": 39900, ""inventory_management"": ""shopify"", ""barcode"": ""1514164812010"", ""featured_media"": {""alt"": null, ""id"": 33581155811564, ""position"": 1, ""preview_image"": {""aspect_ratio"": 1.0, ""height"": 3417, ""width"": 3417, ""src"": ""//sutrastores.com/cdn/shop/files/315A7308_161939c3-4b7c-4072-bc57-dbcbbfe0f1ee.jpg?v=1757257134""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",حزام جلد فيرشن 2,199.0,399.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Basic Slim Fit Round T_Shirt,LE199.00,LE649.00,"3XL, 4XL",https://sutrastores.com/products/basic_slim_fit_round_t_shirt,https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Black.jpg?v=1757257122&width=1100,"{""colors"": [{""name"": ""White"", ""available"": false, ""option_value_id"": ""2412169232620"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-White1_4f0c2810-2d58-4f84-b317-b0e2ed79104a.jpg?v=1757257123&width=50""}, {""name"": ""Black"", ""available"": false, ""option_value_id"": ""2412169199852"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Black_2f8160a8-30a5-4b6e-9589-aa2ec0c2fa5e.jpg?v=1757257123&width=50""}, {""name"": ""Dark Blue"", ""available"": false, ""option_value_id"": ""2412223725804"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/WhatsApp_Image_2024-07-27_at_13.42.53_45_4c455d68-5701-41eb-9535-790532415d71.jpg?v=1757257122&width=50""}, {""name"": ""Baby Blue"", ""available"": false, ""option_value_id"": ""2412223758572"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A2776-min_d465042d-2d0d-48b8-910a-efb940422e9e.jpg?v=1757257123&width=50""}, {""name"": ""Oily"", ""available"": false, ""option_value_id"": ""2412223791340"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A2934-min_e7e1767e-71d5-43ea-9385-a49fe4f83ff6.jpg?v=1757257123&width=50""}, {""name"": ""Wine"", ""available"": false, ""option_value_id"": ""2412223824108"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/WhatsApp_Image_2024-07-27_at_13.42.53_43_f2ede027-8bb1-4903-97da-a613e4830424.jpg?v=1757257122&width=50""}, {""name"": ""Indigo"", ""available"": false, ""option_value_id"": ""2412223856876"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/WhatsApp_Image_2024-07-27_at_13.42.53_42_6f1a487b-204a-4d45-8655-d9a9d424e131.jpg?v=1757257122&width=50""}, {""name"": ""Red"", ""available"": false, ""option_value_id"": ""2412223889644"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Red_eaf6d724-dfb5-46d0-96d8-3bdfe3107c46.jpg?v=1757257123&width=50""}, {""name"": ""Yellow"", ""available"": false, ""option_value_id"": ""2412223922412"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/315A5337_2fe711ff-68ff-4138-92e0-7d92e55f4b44-min.jpg?v=1757257123&width=50""}, {""name"": ""Beige"", ""available"": true, ""option_value_id"": ""2412223955180"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Beige_43f96d40-20ae-4938-b8da-ab98933448b2.jpg?v=1757257123&width=50""}, {""name"": ""Brown"", ""available"": false, ""option_value_id"": ""3330026864876"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Brown_38cab93c-8614-4f14-9bce-4a71540d2d9e.jpg?v=1757257123&width=50""}, {""name"": ""Silver"", ""available"": false, ""option_value_id"": ""2412224020716"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/WhatsApp_Image_2024-07-27_at_13.42.53_46_4a725fbd-47a3-419f-8997-765bb6e36af9.jpg?v=1757257122&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Slim</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 45385408250092, ""title"": ""Beige / 3XL"", ""option1"": ""Beige"", ""option2"": ""3XL"", ""option3"": null, ""sku"": ""Basic Slim Fit Round T_Shirt-Beige-3XL"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 43836930687212, ""product_id"": 8556455297260, ""position"": 20, ""created_at"": ""2025-07-10T21:15:31+03:00"", ""updated_at"": ""2025-09-07T17:58:43+03:00"", ""alt"": null, ""width"": 1800, ""height"": 2700, ""src"": ""//sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Beige_43f96d40-20ae-4938-b8da-ab98933448b2.jpg?v=1757257123"", ""variant_ids"": [45385408119020, 45385408151788, 45385408184556, 45385408217324, 45385408250092, 45385408282860, 45385408315628, 45385408348396]}, ""available"": true, ""name"": ""Basic Slim Fit Round T_Shirt - Beige / 3XL"", ""public_title"": ""Beige / 3XL"", ""options"": [""Beige"", ""3XL""], ""price"": 19900, ""weight"": 0, ""compare_at_price"": 64900, ""inventory_management"": ""shopify"", ""barcode"": ""1495560427010"", ""featured_media"": {""alt"": null, ""id"": 35662296383724, ""position"": 20, ""preview_image"": {""aspect_ratio"": 0.667, ""height"": 2700, ""width"": 1800, ""src"": ""//sutrastores.com/cdn/shop/files/Basic_Slim_Fit_Round_T_Shirt-Beige_43f96d40-20ae-4938-b8da-ab98933448b2.jpg?v=1757257123""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",تيشيرت اساسي سليم فيت,199.0,649.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Persula Over Size PR_Architect,LE199.00,LE699.00,,https://sutrastores.com/products/persula-over-size-pr_architect,https://sutrastores.com/cdn/shop/files/0H9A4630.jpg?v=1757256579&width=1100,"{""colors"": [{""name"": ""White"", ""available"": false, ""option_value_id"": ""3354353008876"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/0H9A4630_36ed43fb-f9d3-426c-a995-bb25a6942169.jpg?v=1757256580&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Over size</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 46522532987116, ""title"": ""White / M"", ""option1"": ""White"", ""option2"": ""M"", ""option3"": null, ""sku"": ""Persula Over Size PR_Architect-White-M"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 43836818424044, ""product_id"": 8935242727660, ""position"": 3, ""created_at"": ""2025-07-10T21:02:21+03:00"", ""updated_at"": ""2025-09-07T17:49:40+03:00"", ""alt"": null, ""width"": 1800, ""height"": 2700, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4630_36ed43fb-f9d3-426c-a995-bb25a6942169.jpg?v=1757256580"", ""variant_ids"": [46522532921580, 46522532954348, 46522532987116, 46522533019884, 46522533052652]}, ""available"": false, ""name"": ""Persula Over Size PR_Architect - White / M"", ""public_title"": ""White / M"", ""options"": [""White"", ""M""], ""price"": 19900, ""weight"": 0, ""compare_at_price"": 69900, ""inventory_management"": ""shopify"", ""barcode"": ""16450100666010"", ""featured_media"": {""alt"": null, ""id"": 35662220755180, ""position"": 3, ""preview_image"": {""aspect_ratio"": 0.667, ""height"": 2700, ""width"": 1800, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4630_36ed43fb-f9d3-426c-a995-bb25a6942169.jpg?v=1757256580""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",قميص أوفير سايز بيرسولا,199.0,699.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Slim Fit PR_Busy,LE199.00,LE699.00,M,https://sutrastores.com/products/slim-fit-pr_busy,https://sutrastores.com/cdn/shop/files/0H9A4555.jpg?v=1757256557&width=1100,"{""colors"": [{""name"": ""White"", ""available"": true, ""option_value_id"": ""3354448003308"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/0H9A4555_37d60c7b-5602-4291-bafe-7e0238cf9ab4.jpg?v=1757256557&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Slim</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 46522624311532, ""title"": ""White / M"", ""option1"": ""White"", ""option2"": ""M"", ""option3"": null, ""sku"": ""Slim Fit PR_Busy-White-M"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 43836813443308, ""product_id"": 8935304495340, ""position"": 3, ""created_at"": ""2025-07-10T21:01:46+03:00"", ""updated_at"": ""2025-09-07T17:49:17+03:00"", ""alt"": null, ""width"": 1800, ""height"": 2700, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4555_37d60c7b-5602-4291-bafe-7e0238cf9ab4.jpg?v=1757256557"", ""variant_ids"": [46522624245996, 46522624278764, 46522624311532, 46522624344300, 46522624377068]}, ""available"": true, ""name"": ""Slim Fit PR_Busy - White / M"", ""public_title"": ""White / M"", ""options"": [""White"", ""M""], ""price"": 19900, ""weight"": 0, ""compare_at_price"": 69900, ""inventory_management"": ""shopify"", ""barcode"": ""16450100066010"", ""featured_media"": {""alt"": null, ""id"": 35662217380076, ""position"": 3, ""preview_image"": {""aspect_ratio"": 0.667, ""height"": 2700, ""width"": 1800, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4555_37d60c7b-5602-4291-bafe-7e0238cf9ab4.jpg?v=1757256557""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",قميص ضيق  PR_Busy,199.0,699.0,EGP
كوليكشن العروض,اسعار تبدأ من 199ج,Slim Fit PR_Do Not Worry,LE199.00,LE699.00,M,https://sutrastores.com/products/slim-fit-pr_do-not-worry,https://sutrastores.com/cdn/shop/files/0H9A4585.jpg?v=1757256547&width=1100,"{""colors"": [{""name"": ""White"", ""available"": true, ""option_value_id"": ""3354448724204"", ""swatch_image"": ""https://sutrastores.com/cdn/shop/files/0H9A4585_997dd86d-7e4f-47b1-a401-9d1e20a93192.jpg?v=1757256547&width=50""}], ""specs"": {""raw_html"": ""<p><strong>Measurements:</strong></p><ul><li>Model is wearing size XXL/36.</li></ul><p><strong>Material:</strong></p><ul>\n<li>Fabric: Cotton</li>\n<li>Inner lining: Not specified</li>\n</ul><p><strong>Specifications:</strong></p><ul>\n<li>Fit: Slim</li>\n<li>Gender: Men</li>\n</ul><p><strong>Style:</strong></p><ul>\n<li>Casual</li>\n<li>Season: All Seasons</li>\n</ul>"", ""sections"": {}}, ""price_info"": {""regular"": null, ""sale"": null, ""compare_at"": null, ""currency"": null}, ""rating"": {""value"": null, ""count"": null}, ""selected_variant"": {""id"": 46522624966892, ""title"": ""White / M"", ""option1"": ""White"", ""option2"": ""M"", ""option3"": null, ""sku"": ""Slim Fit PR_Do Not Worry-White-M"", ""requires_shipping"": true, ""taxable"": false, ""featured_image"": {""id"": 43836812820716, ""product_id"": 8935304724716, ""position"": 2, ""created_at"": ""2025-07-10T21:01:40+03:00"", ""updated_at"": ""2025-09-07T17:49:07+03:00"", ""alt"": null, ""width"": 1800, ""height"": 2700, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4585_997dd86d-7e4f-47b1-a401-9d1e20a93192.jpg?v=1757256547"", ""variant_ids"": [46522624901356, 46522624934124, 46522624966892, 46522624999660, 46522625032428]}, ""available"": true, ""name"": ""Slim Fit PR_Do Not Worry - White / M"", ""public_title"": ""White / M"", ""options"": [""White"", ""M""], ""price"": 19900, ""weight"": 0, ""compare_at_price"": 69900, ""inventory_management"": ""shopify"", ""barcode"": ""16450100060010"", ""featured_media"": {""alt"": null, ""id"": 35662217019628, ""position"": 2, ""preview_image"": {""aspect_ratio"": 0.667, ""height"": 2700, ""width"": 1800, ""src"": ""//sutrastores.com/cdn/shop/files/0H9A4585_997dd86d-7e4f-47b1-a401-9d1e20a93192.jpg?v=1757256547""}}, ""requires_selling_plan"": false, ""selling_plan_allocations"": []}}",قميص ضيق متقلقش,199.0,699.0,EGP
